<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC_PB,D,20080529,000000,0.316119,0.316119,0.295924,0.295924,0,0
AMC_PB,D,20080530,000000,0.30263,0.30263,0.295924,0.30263,0,0
AMC_PB,D,20080602,000000,0.30263,0.309413,0.30263,0.309413,0,0
AMC_PB,D,20080603,000000,0.309413,0.309413,0.30263,0.309413,0,0
AMC_PB,D,20080604,000000,0.309413,0.309413,0.30263,0.309413,0,0
AMC_PB,D,20080605,000000,0.295924,0.309413,0.295924,0.30263,0,0
AMC_PB,D,20080606,000000,0.30263,0.309413,0.295924,0.309413,0,0
AMC_PB,D,20080609,000000,0.295924,0.309413,0.289218,0.30263,0,0
AMC_PB,D,20080610,000000,0.289218,0.30263,0.269032,0.289218,0,0
AMC_PB,D,20080611,000000,0.282445,0.282445,0.269032,0.282445,0,0
AMC_PB,D,20080612,000000,0.269032,0.282445,0.269032,0.282445,0,0
AMC_PB,D,20080613,000000,0.275729,0.275729,0.275729,0.275729,0,0
AMC_PB,D,20080616,000000,0.275729,0.282445,0.269032,0.269032,0,0
AMC_PB,D,20080617,000000,0.269032,0.269032,0.269032,0.269032,0,0
AMC_PB,D,20080618,000000,0.275729,0.275729,0.255553,0.262336,0,0
AMC_PB,D,20080619,000000,0.255553,0.262336,0.248847,0.248847,0,0
AMC_PB,D,20080620,000000,0.255553,0.255553,0.248847,0.248847,0,0
AMC_PB,D,20080623,000000,0.255553,0.255553,0.228642,0.235415,0,0
AMC_PB,D,20080624,000000,0.235415,0.235415,0.221955,0.221955,0,0
AMC_PB,D,20080625,000000,0.215239,0.221955,0.208466,0.221955,0,0
AMC_PB,D,20080626,000000,0.215239,0.228642,0.215239,0.228642,0,0
AMC_PB,D,20080627,000000,0.228642,0.228642,0.221955,0.221955,0,0
AMC_PB,D,20080630,000000,0.221955,0.228642,0.221955,0.228642,0,0
AMC_PB,D,20080701,000000,0.221955,0.228642,0.208466,0.215239,0,0
AMC_PB,D,20080702,000000,0.208466,0.228642,0.208466,0.228642,0,0
AMC_PB,D,20080703,000000,0.221955,0.221955,0.215239,0.221955,0,0
AMC_PB,D,20080704,000000,0.221955,0.221955,0.208466,0.215239,0,0
AMC_PB,D,20080707,000000,0.208466,0.208466,0.195035,0.20176,0,0
AMC_PB,D,20080708,000000,0.20176,0.20176,0.181565,0.188357,0,0
AMC_PB,D,20080709,000000,0.188357,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080710,000000,0.195035,0.195035,0.181565,0.181565,0,0
AMC_PB,D,20080711,000000,0.181565,0.181565,0.168152,0.174849,0,0
AMC_PB,D,20080714,000000,0.174849,0.174849,0.161456,0.168152,0,0
AMC_PB,D,20080715,000000,0.161456,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20080716,000000,0.154683,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20080717,000000,0.161456,0.174849,0.154683,0.168152,0,0
AMC_PB,D,20080718,000000,0.168152,0.168152,0.168152,0.168152,0,0
AMC_PB,D,20080721,000000,0.168152,0.174849,0.168152,0.174849,0,0
AMC_PB,D,20080722,000000,0.181565,0.181565,0.174849,0.174849,0,0
AMC_PB,D,20080723,000000,0.174849,0.188357,0.174849,0.188357,0,0
AMC_PB,D,20080724,000000,0.188357,0.195035,0.188357,0.188357,0,0
AMC_PB,D,20080725,000000,0.181565,0.188357,0.181565,0.188357,0,0
AMC_PB,D,20080728,000000,0.188357,0.195035,0.188357,0.188357,0,0
AMC_PB,D,20080729,000000,0.188357,0.188357,0.181565,0.181565,0,0
AMC_PB,D,20080730,000000,0.188357,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080731,000000,0.188357,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080801,000000,0.188357,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080804,000000,0.195035,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080805,000000,0.195035,0.208466,0.195035,0.208466,0,0
AMC_PB,D,20080806,000000,0.208466,0.215239,0.208466,0.208466,0,0
AMC_PB,D,20080807,000000,0.208466,0.208466,0.181565,0.181565,0,0
AMC_PB,D,20080808,000000,0.181565,0.181565,0.168152,0.174849,0,0
AMC_PB,D,20080811,000000,0.174849,0.188357,0.174849,0.181565,0,0
AMC_PB,D,20080812,000000,0.188357,0.188357,0.181565,0.188357,0,0
AMC_PB,D,20080813,000000,0.188357,0.188357,0.188357,0.188357,0,0
AMC_PB,D,20080814,000000,0.188357,0.188357,0.174849,0.181565,0,0
AMC_PB,D,20080818,000000,0.181565,0.195035,0.174849,0.195035,0,0
AMC_PB,D,20080819,000000,0.195035,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080820,000000,0.195035,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080821,000000,0.195035,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080822,000000,0.195035,0.20176,0.188357,0.195035,0,0
AMC_PB,D,20080825,000000,0.188357,0.195035,0.188357,0.195035,0,0
AMC_PB,D,20080826,000000,0.195035,0.20176,0.195035,0.195035,0,0
AMC_PB,D,20080827,000000,0.20176,0.20176,0.195035,0.195035,0,0
AMC_PB,D,20080828,000000,0.195035,0.195035,0.195035,0.195035,0,0
AMC_PB,D,20080829,000000,0.195035,0.20176,0.195035,0.20176,0,0
AMC_PB,D,20080901,000000,0.20176,0.208466,0.195035,0.208466,0,0
AMC_PB,D,20080902,000000,0.20176,0.215239,0.20176,0.215239,0,0
AMC_PB,D,20080903,000000,0.215239,0.221955,0.215239,0.221955,0,0
AMC_PB,D,20080904,000000,0.221955,0.235415,0.221955,0.235415,0,0
AMC_PB,D,20080905,000000,0.228642,0.235415,0.221955,0.228642,0,0
AMC_PB,D,20080908,000000,0.228642,0.228642,0.228642,0.228642,0,0
AMC_PB,D,20080909,000000,0.228642,0.235415,0.228642,0.228642,0,0
AMC_PB,D,20080910,000000,0.228642,0.228642,0.215239,0.221955,0,0
AMC_PB,D,20080911,000000,0.221955,0.221955,0.215239,0.221955,0,0
AMC_PB,D,20080912,000000,0.221955,0.228642,0.221955,0.221955,0,0
AMC_PB,D,20080915,000000,0.228642,0.228642,0.20176,0.208466,0,0
AMC_PB,D,20080916,000000,0.208466,0.208466,0.20176,0.20176,0,0
AMC_PB,D,20080917,000000,0.20176,0.20176,0.20176,0.20176,0,0
AMC_PB,D,20080918,000000,0.195035,0.20176,0.188357,0.20176,0,0
AMC_PB,D,20080919,000000,0.20176,0.208466,0.20176,0.20176,0,0
AMC_PB,D,20080922,000000,0.208466,0.208466,0.208466,0.208466,0,0
AMC_PB,D,20080923,000000,0.208466,0.208466,0.208466,0.208466,0,0
AMC_PB,D,20080924,000000,0.208466,0.208466,0.20176,0.20176,0,0
AMC_PB,D,20080925,000000,0.208466,0.208466,0.20176,0.20176,0,0
AMC_PB,D,20080926,000000,0.20176,0.20176,0.188357,0.188357,0,0
AMC_PB,D,20080929,000000,0.195035,0.195035,0.188357,0.188357,0,0
AMC_PB,D,20080930,000000,0.181565,0.188357,0.174849,0.188357,0,0
AMC_PB,D,20081001,000000,0.188357,0.188357,0.188357,0.188357,0,0
AMC_PB,D,20081002,000000,0.188357,0.188357,0.181565,0.188357,0,0
AMC_PB,D,20081003,000000,0.181565,0.181565,0.174849,0.181565,0,0
AMC_PB,D,20081006,000000,0.174849,0.181565,0.168152,0.174849,0,0
AMC_PB,D,20081007,000000,0.174849,0.174849,0.161456,0.168152,0,0
AMC_PB,D,20081008,000000,0.168152,0.168152,0.154683,0.168152,0,0
AMC_PB,D,20081009,000000,0.168152,0.168152,0.161456,0.168152,0,0
AMC_PB,D,20081010,000000,0.161456,0.161456,0.154683,0.161456,0,0
AMC_PB,D,20081013,000000,0.161456,0.168152,0.161456,0.161456,0,0
AMC_PB,D,20081014,000000,0.174849,0.174849,0.168152,0.168152,0,0
AMC_PB,D,20081015,000000,0.168152,0.174849,0.161456,0.161456,0,0
AMC_PB,D,20081016,000000,0.154683,0.161456,0.154683,0.161456,0,0
AMC_PB,D,20081017,000000,0.161456,0.161456,0.154683,0.161456,0,0
AMC_PB,D,20081020,000000,0.161456,0.168152,0.161456,0.168152,0,0
AMC_PB,D,20081021,000000,0.168152,0.174849,0.168152,0.174849,0,0
AMC_PB,D,20081022,000000,0.168152,0.174849,0.168152,0.174849,0,0
AMC_PB,D,20081023,000000,0.168152,0.174849,0.161456,0.161456,0,0
AMC_PB,D,20081024,000000,0.161456,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20081027,000000,0.154683,0.161456,0.147957,0.154683,0,0
AMC_PB,D,20081028,000000,0.161456,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20081029,000000,0.161456,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20081030,000000,0.161456,0.161456,0.154683,0.154683,0,0
AMC_PB,D,20081031,000000,0.154683,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081103,000000,0.154683,0.154683,0.154683,0.154683,0,0
AMC_PB,D,20081104,000000,0.154683,0.154683,0.154683,0.154683,0,0
AMC_PB,D,20081105,000000,0.174849,0.174849,0.154683,0.161456,0,0
AMC_PB,D,20081106,000000,0.161456,0.168152,0.161456,0.161456,0,0
AMC_PB,D,20081107,000000,0.168152,0.168152,0.147957,0.147957,0,0
AMC_PB,D,20081110,000000,0.147957,0.154683,0.147957,0.147957,0,0
AMC_PB,D,20081112,000000,0.147957,0.147957,0.14127,0.14127,0,0
AMC_PB,D,20081113,000000,0.14127,0.14127,0.14127,0.14127,0,0
AMC_PB,D,20081114,000000,0.14127,0.14127,0.14127,0.14127,0,0
AMC_PB,D,20081117,000000,0.14127,0.154683,0.14127,0.154683,0,0
AMC_PB,D,20081118,000000,0.154683,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081119,000000,0.154683,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081120,000000,0.134468,0.147957,0.134468,0.147957,0,0
AMC_PB,D,20081121,000000,0.147957,0.154683,0.14127,0.147957,0,0
AMC_PB,D,20081124,000000,0.147957,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081125,000000,0.154683,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081126,000000,0.154683,0.154683,0.147957,0.154683,0,0
AMC_PB,D,20081127,000000,0.147957,0.154683,0.147957,0.147957,0,0
AMC_PB,D,20081128,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081201,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081202,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081203,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081204,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081205,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081208,000000,0.147957,0.154683,0.147957,0.147957,0,0
AMC_PB,D,20081209,000000,0.147957,0.147957,0.147957,0.147957,0,0
AMC_PB,D,20081210,000000,0.147957,0.147957,0.14127,0.14127,0,0
AMC_PB,D,20081211,000000,0.14127,0.147957,0.14127,0.147957,0,0
AMC_PB,D,20081212,000000,0.14127,0.14127,0.134468,0.134468,0,0
AMC_PB,D,20081215,000000,0.134468,0.14127,0.134468,0.14127,0,0
AMC_PB,D,20081216,000000,0.134468,0.14127,0.134468,0.14127,0,0
AMC_PB,D,20081217,000000,0.134468,0.14127,0.134468,0.14127,0,0
AMC_PB,D,20081218,000000,0.134468,0.14127,0.134468,0.134468,0,0
AMC_PB,D,20081219,000000,0.134468,0.134468,0.127781,0.134468,0,0
AMC_PB,D,20081222,000000,0.134468,0.134468,0.134468,0.134468,0,0
AMC_PB,D,20081223,000000,0.127781,0.134468,0.127781,0.134468,0,0
AMC_PB,D,20081229,000000,0.134468,0.134468,0.134468,0.134468,0,0
AMC_PB,D,20081230,000000,0.134468,0.134468,0.134468,0.134468,0,0
AMC_PB,D,20081231,000000,0.14127,0.14127,0.134468,0.14127,0,0
AMC_PB,D,20090105,000000,0.14127,0.147957,0.14127,0.14127,0,0
AMC_PB,D,20090106,000000,0.147957,0.147957,0.147957,0.147957,0,0
